Id,SalePrice
1461,131135.6521
1462,166965.0138
1463,194680.2631
1464,203141.5017
1465,218529.8954
1466,188292.5447
1467,183255.6422
1468,175186.2072
1469,199845.4731
1470,130358.9521
1471,224036.1801
1472,94565.06218
1473,98408.32955
1474,163160.0075
1475,134629.1165
1476,469348.0962
1477,295208.4368
1478,362345.0483
1479,332209.1005
1480,751034.6965
1481,347803.0217
1482,240948.8257
1483,185247.1276
1484,177409.5094
1485,193268.8983
1486,210112.2058
1487,393058.1863
1488,270748.9074
1489,222517.2152
1490,250068.7391
1491,210522.3952
1492,100107.2471
1493,199382.3606
1494,338482.0187
1495,339787.1924
1496,270568.7212
1497,183694.4901
1498,169292.29
1499,168012.6718
1500,154382.1813
1501,183270.3015
1502,161596.2615
1503,351813.8808
1504,258742.9489
1505,251834.2702
1506,190313.7889
1507,268630.4354
1508,221941.2208
1509,170027.1512
1510,152809.0154
1511,152509.6952
1512,177182.0802
1513,162285.98
1514,192394.6368
1515,224976.8808
1516,173304.0302
1517,174035.8258
1518,146647.4801
1519,251921.998
1520,143298.8003
1521,146652.42
1522,183161.9818
1523,109710.0661
1524,120846.4354
1525,125075.5573
1526,137771.2798
1527,103865.7761
1528,142348.2767
1529,151219.7869
1530,176037.8064
1531,102191.338
1532,107202.1234
1533,147464.6234
1534,124542.188
1535,176364.7163
1536,111243.4951
1537,86991.50171
1538,196359.741
1539,223483.0277
1540,112719.8177
1541,153746.4214
1542,161839.864
1543,259346.8601
1544,77795.41963
1545,115229.6285
1546,131550.6969
1547,148879.5592
1548,139924.8139
1549,111595.1659
1550,162586.8163
1551,133573.3441
1552,133687.9354
1553,154962.5633
1554,110761.3354
1555,193652.9386
1556,106473.0351
1557,125605.0543
1558,108287.6604
1559,101271.0947
1560,137198.2146
1561,159223.3011
1562,136907.8553
1563,126357.8118
1564,153292.817
1565,155374.2498
1566,249333.7905
1567,90880.32187
1568,238266.3595
1569,137803.2471
1570,127188.0082
1571,126593.8711
1572,157798.086
1573,278997.4342
1574,136559.077
1575,233962.9109
1576,238868.6248
1577,214495.2793
