LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtFinSF1,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,Fireplaces,GarageCars,GarageQual,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,PriceSales
0.2458100558659218,0.03341980415527355,0.6666666666666665,0.9492753623188417,0.8833333333333329,0.6666666666666666,0.5,0.17605985037406482,0.16800785083415112,0.28901491283343833,0.5,0.6666666666666666,0.0,0.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.24107762810720734
0.3296089385474861,0.03879501741101685,0.5555555555555556,0.7536231884057969,0.43333333333333,1.0,0.5,0.24389027431421445,0.247693817468106,0.19491703423650492,0.5,1.0,0.25,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.2035828357172615
0.26256983240223464,0.04650727990838767,0.6666666666666665,0.9347826086956523,0.8666666666666671,0.6666666666666666,0.5,0.12119700748129675,0.18056918547595682,0.30497794580970383,0.5,0.6666666666666666,0.25,0.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2619080683238439
0.2178770949720671,0.0385613124868541,0.6666666666666665,0.3115942028985508,0.3333333333333357,1.0,1.0,0.053865336658354114,0.14838076545632975,0.2904851921865154,0.25,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.14595195111790032
0.35195530726256985,0.06057631634298535,0.7777777777777777,0.9275362318840585,0.8333333333333357,0.6666666666666666,0.5,0.16334164588528677,0.22473012757605496,0.39151438773366937,0.5,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.29870851270656856
0.3575418994413408,0.05989857206291336,0.4444444444444445,0.8768115942028984,0.75,1.0,0.5,0.1825436408977556,0.1562315996074583,0.21592102499474897,0.25,1.0,0.0,0.4,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15011803916122762
0.3016759776536313,0.04105728107691229,0.7777777777777777,0.9565217391304355,0.9166666666666643,0.6666666666666666,0.0,0.3413965087281795,0.3309126594700687,0.28565427431211926,0.5,0.6666666666666666,0.25,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.37786418552978757
0.32601755786113334,0.04245016242492229,0.6666666666666665,0.7318840579710155,0.38333333333333286,1.0,0.5,0.214214463840399,0.21727183513248283,0.3688300777147658,0.5,1.0,0.5,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.22927371198444663
0.16759776536312854,0.022529154689289302,0.6666666666666665,0.42753623188405854,0.0,1.0,1.0,0.0,0.18684985279685967,0.3024574669187145,0.5,1.0,0.5,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1319261213720317
0.16201117318435754,0.028605482717520857,0.4444444444444445,0.4855072463768124,0.0,1.0,1.0,0.21221945137157106,0.19450441609421001,0.15605965133375338,0.25,1.0,0.5,0.2,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.11540063880016664
0.2737430167597766,0.046273574984224915,0.4444444444444445,0.6739130434782616,0.25,1.0,1.0,0.22593516209476308,0.2041216879293425,0.1482881747532031,0.25,1.0,0.0,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.13137064296625472
0.3575418994413408,0.049657622286101565,0.8888888888888888,0.9637681159420293,0.93333333333333,0.0,0.0,0.24887780548628427,0.23061825318940138,0.41797941608905687,0.75,0.0,0.5,0.6000000000000001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4306346340786002
0.28581404628890666,0.05453738110261983,0.4444444444444445,0.6521739130434785,0.20000000000000284,1.0,1.0,0.18379052369077306,0.17899901864573112,0.1214030665826507,0.25,1.0,0.0,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.15150673517567004
0.39106145251396646,0.043712169015401155,0.6666666666666665,0.9710144927536231,0.9500000000000028,0.6666666666666666,0.5,0.0,0.2932286555446516,0.24364629279563116,0.5,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3396750451326205
0.30523315471439977,0.044964827408913506,0.5555555555555556,0.6376811594202909,0.1666666666666643,1.0,1.0,0.1827930174563591,0.24592737978410206,0.19302667506826293,0.25,1.0,0.25,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.16955978336342176
0.16759776536312854,0.022529154689289302,0.6666666666666665,0.4130434782608692,0.8500000000000014,1.0,1.0,0.0,0.163297350343474,0.10922075194286913,0.25,1.0,0.0,0.4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1348423830023608
0.30523315471439977,0.04646521302203837,0.5555555555555556,0.7101449275362324,0.3333333333333357,1.0,1.0,0.14413965087281794,0.19705593719332679,0.14072673808023523,0.25,1.0,0.25,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.15845021524788228
0.28491620111731847,0.04436186870457361,0.3333333333333333,0.6884057971014492,0.28333333333333144,1.0,0.75,0.0,0.0,0.2020583910943079,0.5,1.0,0.0,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.07651715039577837
0.25139664804469275,0.057935450699946246,0.4444444444444445,0.9565217391304355,0.8999999999999986,1.0,1.0,0.16109725685785536,0.21864573110893032,0.1638311279143037,0.25,0.6666666666666666,0.0,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.17233717539230664
0.2737430167597766,0.02925985650517656,0.4444444444444445,0.6231884057971016,0.25,1.0,1.0,0.12568578553615958,0.20196270853778214,0.21109010712035287,0.25,1.0,0.0,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.14456325510345786
0.446927374301676,0.06036598191123887,0.7777777777777777,0.9637681159420293,0.93333333333333,0.6666666666666666,0.0,0.0,0.22728164867517175,0.4289014912833438,0.75,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.40327732259408416
0.2011173184357542,0.028741031573535254,0.6666666666666665,0.42028985507246475,0.0,1.0,1.0,0.0,0.12502453385672227,0.16257088846880907,0.25,0.6666666666666666,0.25,0.2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.14511873350923482
0.3016759776536313,0.03945873939563906,0.7777777777777777,0.9420289855072461,0.8666666666666671,0.6666666666666666,0.5,0.0,0.34877330716388616,0.30686830497794576,0.5,0.6666666666666666,0.25,0.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2709345924177198
0.12849162011173187,0.013667063965037744,0.4444444444444445,0.7536231884057969,0.43333333333333,1.0,0.5,0.20947630922693267,0.2041216879293425,0.15248897290485192,0.25,1.0,0.25,0.4,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1319261213720317
0.28581404628890666,0.03246628806468952,0.4444444444444445,0.695652173913043,0.8500000000000014,1.0,1.0,0.046882793017456355,0.20804710500490678,0.15248897290485192,0.25,0.6666666666666666,0.25,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.16539369532009446
0.49720670391061456,0.06043609338848769,0.7777777777777777,0.9782608695652169,0.9500000000000028,0.6666666666666666,0.5,0.0,0.307360157016683,0.26591052299936985,0.5,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3074572975975559
0.2178770949720671,0.027577181051204748,0.4444444444444445,0.5724637681159432,0.8333333333333357,1.0,1.0,0.058354114713216956,0.17664376840039256,0.11888258769166142,0.25,0.6666666666666666,0.0,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1387307318427996
0.4301675977653631,0.04757297436256982,0.7777777777777777,0.9782608695652169,0.9666666666666686,0.6666666666666666,0.0,0.30374064837905235,0.33444553483807654,0.2877546733879437,0.5,0.6666666666666666,0.25,0.6000000000000001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3764754895153451
0.1452513966480447,0.070209633316974,0.4444444444444445,0.6159420289855078,0.7833333333333314,1.0,1.0,0.3184538653366583,0.2912659470068695,0.26591052299936985,0.25,1.0,0.5,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.23968893209276487
0.2178770949720671,0.02348267077987333,0.3333333333333333,0.3985507246376816,0.0,1.0,1.0,0.0,0.10206084396467124,0.03906742281033396,0.25,0.3333333333333333,0.0,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.04666018608526594
0.16201117318435754,0.0336535090794363,0.3333333333333333,0.3478260869565215,0.0,1.0,1.0,0.0,0.12737978410206086,0.20646922915353916,0.25,1.0,0.0,0.2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.007082349673656438
0.28581404628890666,0.03385916941269952,0.4444444444444445,0.6811594202898554,0.93333333333333,1.0,1.0,0.0,0.24102060843964673,0.18777567737870193,0.25,0.6666666666666666,0.0,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1589362588529371
